npc_name,npc_class,npc_race,npc_level,npc_alignment,npc_gender,npc_age,npc_height,npc_description
Ignatius Janicijevic,Druid,Tiefling,1,Chaotic Evil,Male,84,Average,A compassionate protector of the weak
Merrielle Hiorn,Alchemist,Kenku,7,Lawful Good,Female,97,Average,An intuitive empath who can understand others' emotions
Gretel Lammertz,Priest,Yuan-Ti,1,Neutral Good,Female,19,Short,A creative artist with a unique vision
Stepha Aers,Rogue,Firbolg,10,Chaotic Neutral,Female,55,Short,A skilled craftsman with a talent for creating masterpieces
Flossi Cattle,Thief,Tabaxi,14,True Neutral,Female,35,Average,A wise advisor offering guidance and wisdom
Batholomew Wrettum,Shaman,Elf,12,Lawful Evil,Male,30,Tall,A resourceful survivor thriving in harsh environments
Sollie Hovington,Priest,Orc,14,Neutral Good,Male,26,Tall,A charismatic diplomat bridging gaps between cultures
Broddie Franzonetti,Shaman,Genasi,13,Lawful Good,Male,97,Average,An intuitive empath who can understand others' emotions
Preston Banton,Mage,Gnome,5,Neutral Good,Male,72,Average,A mysterious seer with visions of the future
Janice Shovell,Death Knight,Tabaxi,4,Lawful Evil,Female,21,Tall,An intuitive empath who can understand others' emotions
Renaud Schoenfisch,Demon Hunter,Yuan-Ti,7,Neutral Evil,Male,70,Short,A skilled tracker with an uncanny ability to find anything
Tracie Teodoro,Demon Hunter,Halfling,2,Chaotic Evil,Male,42,Short,A quick-thinking problem solver with a logical mind
Adrianna Ashburner,Warrior,Tabaxi,2,Neutral Good,Female,50,Average,A skilled craftsman with a talent for creating masterpieces
Fawnia Simnell,Thief,Human,2,Neutral Evil,Genderqueer,32,Tall,A fearless explorer of uncharted lands
Garv De Rye Barrett,Priest,Goblin,14,Lawful Evil,Male,65,Short,A fearless warrior always ready for battle
Miller Allan,Druid,Firbolg,9,Neutral Evil,Male,64,Average,A natural-born leader with a commanding presence
Sigismundo Kilsby,Priest,Gnome,4,Lawful Evil,Male,29,Tall,A resourceful problem solver with a keen eye
Elton Dossit,Shaman,Warforged,10,Lawful Neutral,Male,64,Average,A fearless warrior always ready for battle
Sigfrid Lunbech,Necromancer,Tiefling,9,Lawful Good,Male,25,Average,A natural-born leader with a commanding presence
Viv Dockerty,Sorcerer,Elf,15,True Neutral,Female,91,Short,A curious explorer uncovering ancient secrets
Washington Fashion,Thief,Kobold,10,True Neutral,Male,70,Tall,A compassionate listener always ready to lend an ear
Cleo Stebles,Rogue,Goliath,7,Lawful Good,Female,53,Average,A charismatic storyteller with a captivating voice
Natalina Deniso,Sorcerer,Tiefling,10,True Neutral,Female,25,Tall,A talented musician who can captivate any audience
Parrnell Pellatt,Mage,Goliath,7,Lawful Neutral,Male,99,Short,A free-spirited wanderer with an insatiable wanderlust
Tracy Witton,Rogue,Genasi,2,Lawful Evil,Female,43,Average,A curious scholar always hungry for new discoveries
Ruthann Hutchcraft,Warrior,Aasimar,3,Chaotic Neutral,Female,70,Tall,A compassionate protector of the weak
Roby Lotze,Bard,Human,10,Neutral Evil,Female,16,Short,A skilled navigator guiding others through treacherous terrain
Morgan Hlavac,Warlock,Aasimar,15,Lawful Neutral,Genderfluid,43,Average,A fearless warrior always ready for battle
Dawna Perrycost,Ninja,Yuan-Ti,7,Lawful Neutral,Female,28,Tall,A wise philosopher pondering the mysteries of life
Sherlock Ungaretti,Necromancer,Elf,9,Lawful Good,Male,78,Average,A mysterious figure shrouded in shadows
Zack Bestman,Alchemist,Aasimar,13,Neutral Good,Male,63,Short,A fearless daredevil who thrives on adrenaline
Rikki O'Sherin,Samurai,Tabaxi,7,Chaotic Neutral,Female,49,Short,A charismatic performer who lights up any stage
Vilma Vern,Rogue,Orc,14,Chaotic Good,Female,56,Tall,A fearless warrior always ready for battle
Ahmed Caherny,Shaman,Kenku,2,Lawful Good,Male,43,Tall,A loyal companion who never leaves a friend behind
Thomasine Stannard,Alchemist,Tortle,3,Chaotic Evil,Female,40,Tall,A natural-born leader with a commanding presence
Nalani Haggie,Death Knight,Tiefling,2,Neutral Evil,Female,100,Average,A wise philosopher pondering the mysteries of life
Petronilla Rathborne,Demon Hunter,Aasimar,10,Chaotic Neutral,Female,10,Tall,A quick-thinking problem solver with a sharp intellect
Jeri Leuren,Demon Hunter,Tabaxi,15,Lawful Good,Female,84,Average,A cunning strategist with a mischievous smile
Marlane Hugonet,Hunter,Firbolg,8,Neutral Evil,Female,72,Tall,A quick-thinking problem solver with a sharp intellect
Gabbi Jaouen,Hunter,Warforged,14,Lawful Neutral,Female,99,Average,An intuitive empath who can understand others' emotions
Karol Gaitskill,Priest,Genasi,7,Chaotic Good,Female,27,Short,A compassionate healer with a gentle touch
Pauletta Gavigan,Necromancer,Goblin,10,Chaotic Evil,Female,56,Short,A cunning linguist with nimble fingers
Stearne Dagon,Paladin,Aasimar,7,Neutral Good,Male,37,Average,A quick-witted trickster with a clever mind
Jacques Mourgue,Alchemist,Gnome,11,Neutral Evil,Male,77,Average,A charismatic performer who lights up any stage
Priscella Dionisi,Warrior,Tortle,3,Lawful Evil,Female,27,Short,A wise advisor offering guidance and wisdom
Lynde Pundy,Alchemist,Dwarf,3,Chaotic Evil,Female,28,Average,A wise mentor guiding others on their path
Zilvia Mathissen,Mage,Gnome,13,Chaotic Neutral,Female,42,Short,A quick-thinking problem solver with a sharp intellect
Lyn Trazzi,Necromancer,Kenku,10,Chaotic Evil,Female,59,Short,A fearless daredevil who thrives on adrenaline
Sylvan Goodreid,Warrior,Warforged,11,Lawful Neutral,Male,82,Average,A wise mentor guiding others on their path
Merill Mattiussi,Monk,Dwarf,2,Lawful Good,Male,94,Short,A patient teacher passing on their knowledge to others
Bernarr Leckey,Sorcerer,Halfling,14,Lawful Evil,Male,76,Tall,A cunning linguist with nimble fingers
Jarib McCloughen,Paladin,Firbolg,1,Neutral Evil,Male,14,Short,An intuitive empath who can understand others' emotions
Max Severwright,Rogue,Genasi,4,Neutral Good,Female,55,Average,A skilled tracker with an uncanny ability to find anything
Shell Martinat,Shaman,Gnome,10,Lawful Good,Non-binary,82,Tall,A fearless daredevil who thrives on adrenaline
Ingmar Dalmon,Druid,Firbolg,2,True Neutral,Male,22,Average,A brave adventurer with a mysterious past
Kelly Cassin,Alchemist,Aasimar,7,Chaotic Neutral,Female,54,Average,A curious explorer uncovering ancient secrets
Augusta Currell,Bard,Warforged,4,Chaotic Neutral,Female,47,Average,A quick-thinking problem solver with a sharp intellect
Dietrich Greystoke,Sorcerer,Orc,7,True Neutral,Male,95,Short,A quick-footed acrobat with incredible agility
Erastus Quartley,Druid,Elf,1,Lawful Good,Male,33,Tall,A compassionate caregiver always putting others first
Kelbee Walter,Warrior,Triton,3,Neutral Evil,Male,64,Tall,A quick-witted trickster with a clever mind
Ewell Lobbe,Necromancer,Kenku,14,Neutral Good,Male,27,Short,A resourceful problem solver with a keen eye
Torey Godbald,Necromancer,Aasimar,3,Chaotic Evil,Female,62,Average,A compassionate caregiver always putting others first
Gardner Bartkowiak,Rogue,Tabaxi,2,Chaotic Evil,Male,18,Short,A charismatic diplomat bridging gaps between cultures
Antonio Lamas,Bard,Firbolg,15,True Neutral,Male,73,Short,A cunning strategist with a mischievous smile
Tobias Vasichev,Hunter,Dragonborn,8,Chaotic Neutral,Male,63,Average,A charismatic storyteller with a captivating voice
Natalina Guest,Warlock,Elf,12,Neutral Good,Female,95,Short,A skilled magician performing awe-inspiring tricks
Dacie Corp,Paladin,Tabaxi,10,Neutral Evil,Female,48,Tall,A quick-footed acrobat with incredible agility
Heriberto Scholl,Warlock,Tabaxi,10,Lawful Good,Male,30,Tall,A compassionate protector of the weak
Candice Bahike,Hunter,Genasi,14,Chaotic Good,Female,15,Average,A gentle healer mending both body and soul
Mervin Barchrameev,Priest,Aasimar,14,Lawful Evil,Male,87,Average,An enigmatic wanderer seeking knowledge and truth
Fabien Kilshall,Hunter,Tabaxi,15,Lawful Neutral,Male,17,Short,A free-spirited wanderer with an insatiable wanderlust
Leroy Riquet,Hunter,Human,4,Chaotic Neutral,Male,81,Short,A charismatic performer who lights up any stage
Coraline Langland,Alchemist,Tiefling,5,True Neutral,Female,14,Short,A curious explorer uncovering ancient secrets
Hallie Yezafovich,Warlock,Dwarf,3,Lawful Evil,Female,97,Tall,A skilled magician performing awe-inspiring tricks
Ruth Von Salzberg,Engineer,Warforged,14,True Neutral,Female,22,Tall,A skilled warrior with a heart of gold
Emlyn Peckham,Death Knight,Elf,4,Chaotic Evil,Male,58,Short,A quick-witted trickster with a clever mind
Birch Meni,Rogue,Orc,6,Chaotic Evil,Bigender,48,Average,A relentless seeker of justice and truth
Coral Stolle,Paladin,Warforged,15,Lawful Good,Female,58,Tall,A skilled craftsman with a talent for creating masterpieces
Vania Tabbitt,Shaman,Goliath,14,True Neutral,Female,24,Short,A loyal companion who never leaves a friend behind
Martina Cavy,Druid,Human,4,Lawful Neutral,Female,91,Average,A skilled warrior with a heart of gold
Ros Grewe,Samurai,Tortle,4,Chaotic Evil,Female,55,Average,A skilled magician performing awe-inspiring tricks
Kin Arp,Shaman,Human,4,Neutral Evil,Male,46,Short,A resourceful survivor thriving in harsh environments
Gustav Just,Alchemist,Firbolg,12,Neutral Evil,Male,79,Average,A wise philosopher pondering the mysteries of life
Jerrome Elsay,Sorcerer,Yuan-Ti,7,True Neutral,Male,29,Tall,A fearless protector standing up against injustice
Jarid Tefft,Demon Hunter,Halfling,4,Neutral Good,Genderqueer,94,Average,A loyal companion who never leaves a friend behind
Vern Sussex,Engineer,Goblin,7,Lawful Neutral,Male,28,Short,A compassionate protector of the weak
Danella Bartle,Ninja,Tortle,12,True Neutral,Female,85,Short,A charismatic storyteller with a captivating voice
Tomas Ferrieres,Death Knight,Yuan-Ti,14,Lawful Neutral,Male,87,Tall,A creative artist with a unique vision
Burtie Hatherleigh,Alchemist,Kobold,14,Chaotic Evil,Genderqueer,75,Short,A natural-born leader with a commanding presence
Dewain Proschke,Death Knight,Triton,10,Neutral Good,Male,66,Short,A cunning strategist with a mischievous smile
Linnie Vedishchev,Sorcerer,Tiefling,13,Neutral Good,Female,23,Tall,A skilled craftsman with a talent for creating masterpieces
Alane Collum,Ninja,Aasimar,12,Neutral Good,Female,57,Average,A mysterious figure shrouded in shadows
Gram Cron,Priest,Dwarf,3,Neutral Evil,Male,23,Short,A curious explorer uncovering ancient secrets
Patrica Duesbury,Engineer,Kobold,9,Neutral Evil,Female,41,Tall,A master of disguise with a talent for blending in
Sarena Milksop,Mage,Tiefling,8,Chaotic Good,Female,59,Tall,A charismatic storyteller with a captivating voice
Mel Gallymore,Rogue,Tiefling,15,Lawful Good,Male,40,Short,A gentle healer mending both body and soul
Abigail Ravillas,Necromancer,Dragonborn,11,Chaotic Neutral,Female,27,Average,A skilled tracker with an uncanny ability to find anything
Deb Danilovic,Samurai,Kenku,8,Lawful Neutral,Female,48,Short,A charismatic performer who lights up any stage
Davin Cressingham,Thief,Goliath,4,Lawful Good,Male,59,Average,A quick-thinking problem solver with a sharp intellect
Garrek Sleaford,Necromancer,Halfling,2,True Neutral,Male,18,Average,A fearless hunter tracking down dangerous beasts
Dennet Petyanin,Paladin,Genasi,7,Chaotic Evil,Male,68,Short,A curious scholar always hungry for new discoveries
Starla Krysztofiak,Warrior,Dragonborn,8,Chaotic Neutral,Female,25,Short,A skilled navigator guiding others through treacherous terrain
Edy Grayshon,Warlock,Kobold,11,Chaotic Evil,Female,82,Tall,A cunning linguist with nimble fingers
Emlen Clymer,Hunter,Human,11,Lawful Good,Male,46,Tall,A fearless daredevil who thrives on adrenaline
Chadwick Ashenhurst,Samurai,Triton,14,Chaotic Evil,Male,92,Short,A gentle healer mending both body and soul
Janos Reedyhough,Samurai,Halfling,13,Neutral Good,Male,58,Average,A quick-thinking problem solver with a logical mind
Conchita Corhard,Bard,Dwarf,7,Lawful Neutral,Female,70,Short,A skilled diplomat with a knack for negotiation
Bryn Mocquer,Shaman,Aasimar,6,Lawful Good,Male,17,Short,A curious scholar always hungry for new discoveries
Xerxes Josifovitz,Sorcerer,Human,14,Lawful Good,Male,92,Average,A wise sage with ancient knowledge
Shelli Henzley,Shaman,Tabaxi,10,Neutral Evil,Female,30,Average,A mysterious seer with visions of the future
Zena Newart,Death Knight,Tabaxi,13,Chaotic Neutral,Female,33,Short,A mysterious figure shrouded in shadows
Alfie Dewire,Necromancer,Triton,5,Lawful Good,Female,64,Tall,A curious explorer uncovering ancient secrets
Agnella Sweetland,Bard,Human,7,Neutral Good,Female,80,Tall,A charismatic diplomat bridging gaps between cultures
Aurore Parradye,Ninja,Aasimar,11,Lawful Neutral,Female,100,Short,A gentle healer mending both body and soul
Verena Ohanessian,Engineer,Halfling,8,Lawful Evil,Female,72,Average,A quick-footed acrobat with incredible agility
Wendie MacMychem,Shaman,Kobold,15,Lawful Neutral,Female,68,Short,A curious scholar always hungry for new discoveries
Jerry Kik,Death Knight,Halfling,1,Lawful Evil,Male,21,Short,A mysterious figure shrouded in shadows
Cthrine Giffaut,Death Knight,Kobold,8,Lawful Neutral,Female,56,Short,A curious explorer uncovering ancient secrets
Fey Climance,Bard,Tiefling,3,True Neutral,Female,92,Short,An intuitive empath who can understand others' emotions
Stephana Gabotti,Samurai,Tabaxi,11,Neutral Good,Genderfluid,89,Short,A master of disguise with a talent for blending in
Katherine Youthead,Thief,Tortle,10,Chaotic Evil,Female,97,Short,A wise advisor offering guidance and wisdom
Tomasina Joselevitz,Death Knight,Firbolg,10,Chaotic Neutral,Female,48,Tall,A compassionate healer with a gentle touch
Hortense Trahearn,Warrior,Tabaxi,3,True Neutral,Female,95,Short,A skilled engineer inventing groundbreaking technologies
Malynda Aslum,Paladin,Aasimar,5,True Neutral,Female,72,Tall,A creative artist with a unique vision
Itch Abernethy,Paladin,Tiefling,13,Neutral Good,Male,20,Short,A skilled warrior with a heart of gold
Timmi Davydzenko,Shaman,Human,14,Chaotic Good,Female,29,Tall,A quick-thinking problem solver with a logical mind
Gertie Thurber,Engineer,Goblin,6,Chaotic Good,Female,89,Short,A natural-born leader with a commanding presence
Saunders Constable,Hunter,Genasi,5,Lawful Neutral,Male,56,Tall,A gentle healer mending both body and soul
Rakel Schulkins,Alchemist,Triton,6,Chaotic Neutral,Female,75,Average,A compassionate healer with a gentle touch
Poppy McTrustey,Necromancer,Halfling,11,Chaotic Good,Female,18,Tall,A quick-footed acrobat with incredible agility
Alanson Brosini,Alchemist,Tabaxi,1,Chaotic Neutral,Male,24,Average,A resourceful problem solver with a keen eye
Diann Newe,Hunter,Dwarf,9,Lawful Good,Female,99,Tall,A curious explorer uncovering ancient secrets
Dave Knowles,Demon Hunter,Tabaxi,7,Chaotic Evil,Male,50,Tall,A fearless warrior always ready for battle
Rollin Sopp,Rogue,Genasi,15,Lawful Neutral,Male,21,Average,A gentle soul with a deep connection to nature
Franzen Sherry,Hunter,Gnome,12,Chaotic Evil,Male,81,Short,A fearless explorer of uncharted lands
Emmie Eglington,Demon Hunter,Human,11,Chaotic Evil,Female,22,Average,A fearless explorer of uncharted lands
Issi Stanley,Alchemist,Human,9,True Neutral,Female,68,Short,A master of disguise with a talent for blending in
Torey Ber,Rogue,Kenku,7,Lawful Neutral,Female,19,Average,A quick-thinking problem solver with a sharp intellect
Elsworth Elcoate,Alchemist,Halfling,12,Lawful Neutral,Male,79,Tall,A curious explorer uncovering ancient secrets
Neville Donaldson,Warlock,Yuan-Ti,8,Chaotic Neutral,Male,90,Average,A cunning strategist with a mischievous smile
Teriann Egre,Sorcerer,Tiefling,3,Chaotic Good,Female,42,Average,A mysterious figure shrouded in shadows
Larine Zaniolo,Thief,Aasimar,15,Neutral Good,Female,14,Tall,A skilled navigator guiding others through treacherous terrain
Shaw Annon,Hunter,Aasimar,8,Chaotic Neutral,Male,45,Tall,A fearless daredevil who thrives on adrenaline
Bendix Terris,Monk,Tabaxi,10,Neutral Evil,Male,80,Tall,A mysterious figure shrouded in shadows
Curcio Guttridge,Alchemist,Triton,3,Lawful Neutral,Genderfluid,26,Short,An enigmatic wanderer seeking knowledge and truth
Belva Hedney,Sorcerer,Goliath,8,Chaotic Evil,Female,76,Short,A mysterious seer with visions of the future
Jeanelle Quinsee,Thief,Gnome,10,Neutral Good,Female,56,Average,A mysterious figure shrouded in shadows
Gregory Cyster,Samurai,Warforged,3,Chaotic Evil,Male,93,Tall,A charismatic diplomat bridging gaps between cultures
Denys Methringham,Monk,Aasimar,9,Chaotic Good,Female,52,Average,A charismatic diplomat bridging gaps between cultures
Amalia Halls,Alchemist,Yuan-Ti,12,Neutral Evil,Female,80,Short,A loyal companion who never leaves a friend behind
Milton Barbour,Necromancer,Tortle,6,Chaotic Evil,Male,90,Tall,A skilled craftsman with a talent for creating masterpieces
Solomon Pucknell,Mage,Kobold,1,Chaotic Good,Male,12,Tall,A compassionate listener always ready to lend an ear
Shurlock Darrow,Monk,Yuan-Ti,11,Neutral Good,Male,22,Short,A quick-footed acrobat with incredible agility
Englebert Milbourn,Bard,Genasi,8,Lawful Neutral,Male,43,Tall,A fearless hunter tracking down dangerous beasts
Nico Tott,Warlock,Aasimar,11,Neutral Good,Male,24,Short,A fearless daredevil who thrives on adrenaline
John Willatt,Shaman,Dwarf,7,Chaotic Good,Male,74,Tall,A resourceful survivor thriving in harsh environments
Geralda Cullington,Shaman,Orc,5,Lawful Neutral,Female,97,Average,An enigmatic wanderer seeking knowledge and truth
Cal Gleave,Priest,Yuan-Ti,8,Lawful Good,Female,97,Tall,A compassionate caregiver always putting others first
Betty Lebourn,Warrior,Triton,1,Lawful Evil,Female,59,Average,A skilled navigator guiding others through treacherous terrain
Shaina Milham,Death Knight,Warforged,9,Neutral Evil,Female,85,Short,A patient teacher passing on their knowledge to others
Mariette Merrin,Shaman,Gnome,4,Chaotic Evil,Female,44,Short,A patient teacher passing on their knowledge to others
Rouvin Pfaffel,Mage,Goblin,1,Chaotic Neutral,Agender,29,Average,A gentle soul with a deep connection to nature
Honor Adriaan,Thief,Tabaxi,10,Lawful Neutral,Female,56,Average,A free-spirited wanderer with an insatiable wanderlust
Brynna Jepp,Priest,Orc,7,Lawful Neutral,Female,66,Tall,A master of disguise with a talent for blending in
Pandora Abadam,Monk,Firbolg,6,Neutral Evil,Female,31,Short,A charismatic storyteller with a captivating voice
Normand Panyer,Mage,Genasi,3,Neutral Good,Male,32,Average,A wise mentor guiding others on their path
Dionis Housbey,Sorcerer,Tiefling,10,Neutral Evil,Female,25,Short,A quick-footed acrobat with incredible agility
Raffaello Floyed,Demon Hunter,Tiefling,6,Neutral Good,Male,52,Average,A cunning linguist with nimble fingers
Natal Almak,Priest,Firbolg,6,Chaotic Good,Male,95,Average,An intuitive empath who can understand others' emotions
Evvie Geffinger,Sorcerer,Genasi,7,Lawful Evil,Female,94,Short,A gentle healer mending both body and soul
Norbert Repper,Monk,Yuan-Ti,7,Neutral Evil,Male,22,Tall,An enigmatic wanderer seeking knowledge and truth
Saxe Arnopp,Monk,Kobold,12,Neutral Good,Male,75,Short,A resourceful survivor thriving in harsh environments
Benedikta Del Checolo,Engineer,Dwarf,10,Lawful Good,Female,68,Short,A stoic guardian always ready to protect others
Shandee Jennrich,Engineer,Goliath,3,Neutral Evil,Female,45,Tall,A charismatic storyteller with a captivating voice
Emmey Chateau,Druid,Gnome,5,Chaotic Neutral,Female,52,Tall,A skilled diplomat with a knack for negotiation
Ansell O'Geneay,Ninja,Genasi,1,Lawful Good,Male,21,Average,A compassionate healer with a gentle touch
Abbey Seargeant,Necromancer,Dragonborn,2,Lawful Neutral,Male,37,Average,A gentle healer mending both body and soul
Lester Water,Necromancer,Dwarf,10,True Neutral,Male,35,Average,A fearless warrior always ready for battle
Gene Downage,Priest,Kobold,11,Chaotic Neutral,Female,20,Tall,A charismatic performer who lights up any stage
Cris Fairholme,Shaman,Human,15,Neutral Good,Male,59,Tall,A fearless warrior always ready for battle
Richmond Devonport,Demon Hunter,Firbolg,12,Chaotic Good,Male,11,Short,A gentle soul with a deep connection to nature
Oran Whittuck,Priest,Kenku,12,Lawful Neutral,Male,40,Average,A quick-footed acrobat with incredible agility
Virgil Skentelbery,Death Knight,Warforged,15,Chaotic Evil,Male,29,Short,A quick-thinking problem solver with a sharp intellect
Dyan McGaughie,Shaman,Tiefling,1,Chaotic Neutral,Female,47,Short,A charismatic performer who lights up any stage
Reinald Bau,Shaman,Tiefling,11,Neutral Good,Male,26,Average,A free-spirited wanderer with an insatiable wanderlust
Trace Stener,Warrior,Warforged,9,True Neutral,Male,53,Tall,A gentle soul with a deep connection to nature
Toby Lavens,Engineer,Tiefling,3,True Neutral,Male,62,Short,A cunning strategist with a mischievous smile
Donavon Kitchingham,Demon Hunter,Dragonborn,7,Chaotic Neutral,Male,30,Tall,A curious explorer uncovering ancient secrets
Chandal Stranger,Warrior,Firbolg,7,Chaotic Evil,Female,20,Average,A skilled magician performing awe-inspiring tricks
Lilias Theyer,Demon Hunter,Gnome,15,Neutral Good,Female,58,Average,A natural-born leader with a commanding presence
Fletch Harkes,Priest,Human,15,Lawful Good,Male,14,Short,A quick-footed acrobat with incredible agility
Deena Matevushev,Shaman,Tiefling,9,Lawful Good,Female,68,Average,A compassionate caregiver always putting others first
Christoforo Judson,Mage,Kenku,4,Chaotic Neutral,Male,50,Tall,A wise sage with ancient knowledge
